Location,Observation_Status,year,peak_bloom_date,bloom_day_of_year,lat,long,Average temperature (℃)
Abashiri,Observed,1991,1991-05-08,128.0,44.0177777777778,144.279722222222,13.7
Abashiri,Observed,1992,1992-05-13,134.0,44.0177777777778,144.279722222222,11.8
Abashiri,Observed,1993,1993-05-20,140.0,44.0177777777778,144.279722222222,8.5
Abashiri,Observed,1994,1994-05-13,133.0,44.0177777777778,144.279722222222,7.3
Abashiri,Observed,1995,1995-05-08,128.0,44.0177777777778,144.279722222222,11.1
Abashiri,Observed,1996,1996-05-24,145.0,44.0177777777778,144.279722222222,7.9
Abashiri,Observed,1997,1997-05-12,132.0,44.0177777777778,144.279722222222,4.7
Abashiri,Observed,1998,1998-04-28,118.0,44.0177777777778,144.279722222222,10.8
Abashiri,Observed,1999,1999-05-09,129.0,44.0177777777778,144.279722222222,7.8
Abashiri,Observed,2000,2000-05-18,139.0,44.0177777777778,144.279722222222,4.8
Abashiri,Observed,2001,2001-05-12,132.0,44.0177777777778,144.279722222222,11.6
Abashiri,Observed,2002,2002-04-29,119.0,44.0177777777778,144.279722222222,8.7
Abashiri,Observed,2003,2003-05-10,130.0,44.0177777777778,144.279722222222,5.6
Abashiri,Observed,2004,2004-05-12,133.0,44.0177777777778,144.279722222222,15.4
Abashiri,Observed,2005,2005-05-21,141.0,44.0177777777778,144.279722222222,12.8
Abashiri,Observed,2006,2006-05-15,135.0,44.0177777777778,144.279722222222,14.8
Abashiri,Observed,2007,2007-05-12,132.0,44.0177777777778,144.279722222222,3.5
Abashiri,Observed,2008,2008-05-03,124.0,44.0177777777778,144.279722222222,11.2
Abashiri,Observed,2009,2009-05-04,124.0,44.0177777777778,144.279722222222,16.4
Abashiri,Observed,2010,2010-05-17,137.0,44.0177777777778,144.279722222222,12.1
Abashiri,Observed,2011,2011-05-16,136.0,44.0177777777778,144.279722222222,10.7
Abashiri,Observed,2012,2012-05-03,124.0,44.0177777777778,144.279722222222,14.6
Abashiri,Observed,2013,2013-05-25,145.0,44.0177777777778,144.279722222222,10.5
Abashiri,Observed,2014,2014-05-07,127.0,44.0177777777778,144.279722222222,10.2
Abashiri,Observed,2015,2015-04-30,120.0,44.0177777777778,144.279722222222,15.7
